mark;mudel;link
Alfa Romeo;159;/auto-testid/alfa romeo/159-sedaan/kokkuvote/2/
Alfa Romeo;159;/auto-testid/alfa romeo/159-sportwagon/kokkuvote/3/
Alfa Romeo;Giulietta;/auto-testid/alfa romeo/giulietta/kokkuvote/1954/
Alfa Romeo;MiTo;/auto-testid/alfa romeo/mito/kokkuvote/1859/
Audi;A1;/auto-testid/audi/a1/kokkuvote/1955/
Audi;A1;/auto-testid/audi/a1-sportback/kokkuvote/2064/
Audi;A3;/auto-testid/audi/a3/kokkuvote/2096/
Audi;A3;/auto-testid/audi/a3-sedaan/kokkuvote/2160/
Audi;A3;/auto-testid/audi/a3-sportback/kokkuvote/2142/
Audi;A4;/auto-testid/audi/a4-sedaan/kokkuvote/17/
Audi;A5;/auto-testid/audi/a5-sportback/kokkuvote/1908/
Audi;A6;/auto-testid/audi/a6-allroad/kokkuvote/2097/
Audi;A6;/auto-testid/audi/a6-avant/kokkuvote/2051/
Audi;A6;/auto-testid/audi/a6-sedaan/kokkuvote/2012/
Audi;A8;/auto-testid/audi/a8/kokkuvote/1947/
Audi;Q3;/auto-testid/audi/q3/kokkuvote/2061/
Audi;Q5;/auto-testid/audi/q5/kokkuvote/426/
Audi;Q7;/auto-testid/audi/q7/kokkuvote/23/
Audi;R8;/auto-testid/audi/r8-coupe/kokkuvote/24/
Audi;TT;/auto-testid/audi/tt/kokkuvote/25/
BMW;1;/auto-testid/bmw/1.-seeria-(i)/kokkuvote/34/
BMW;1;/auto-testid/bmw/1.-seeria-(i)-coupé/kokkuvote/33/
BMW;1;/auto-testid/bmw/1.-seeria-(ii)-luukpära/kokkuvote/2040/
BMW;3;/auto-testid/bmw/3.-seeria-sedaan/kokkuvote/2062/
BMW;3;/auto-testid/bmw/3.-seeria-sedaan--2012/kokkuvote/37/
BMW;3;/auto-testid/bmw/3.-seeria-touring/kokkuvote/38/
BMW;4;/auto-testid/bmw/4.-seeria-kupee/kokkuvote/2162/
BMW;5;/auto-testid/bmw/5.-seeria-gran-turismo/kokkuvote/1914/
BMW;5;/auto-testid/bmw/5.-seeria-sedaan/kokkuvote/1945/
BMW;5;/auto-testid/bmw/5.-seeria-touring/kokkuvote/1958/
BMW;6;/auto-testid/bmw/6.-seeria-kabriolett/kokkuvote/2013/
BMW;6;/auto-testid/bmw/6.-seeria-kupee/kokkuvote/2052/
BMW;7;/auto-testid/bmw/7.-seeria/kokkuvote/1830/
BMW;X1;/auto-testid/bmw/x1/kokkuvote/1920/
BMW;X3;/auto-testid/bmw/x3/kokkuvote/2000/
BMW;X5;/auto-testid/bmw/x5/kokkuvote/2181/
BMW;Z4;/auto-testid/bmw/z4/kokkuvote/1872/
Cadillac;Escalade;/auto-testid/cadillac/escalade/kokkuvote/52/
Chevrolet;Aveo;/auto-testid/chevrolet/aveo/kokkuvote/415/
Chevrolet;Captiva;/auto-testid/chevrolet/captiva/kokkuvote/56/
Chevrolet;Cruze;/auto-testid/chevrolet/cruze-luukpära/kokkuvote/2041/
Chevrolet;Cruze;/auto-testid/chevrolet/cruze-sedaan/kokkuvote/1901/
Chevrolet;Orlando;/auto-testid/chevrolet/orlando/kokkuvote/2007/
Chevrolet;Spark;/auto-testid/chevrolet/spark/kokkuvote/1935/
Chevrolet;Trax;/auto-testid/chevrolet/trax/kokkuvote/2157/
Citroen;Berlingo;/auto-testid/citroën/berlingo/kokkuvote/431/
Citroen;C1;/auto-testid/citroën/c1/kokkuvote/72/
Citroen;C3;/auto-testid/citroën/c3/kokkuvote/1926/
Citroen;C4;/auto-testid/citroën/c4/kokkuvote/1988/
Citroen;C4 Grand Picasso;/auto-testid/citroën/c4-grand-picasso/kokkuvote/85/
Citroen;C4 Picasso;/auto-testid/citroën/c4-picasso/kokkuvote/2163/
Citroen;C5;/auto-testid/citroën/c5-sedaan/kokkuvote/81/
Citroen;DS3;/auto-testid/citroën/ds3/kokkuvote/1950/
Citroen;DS4;/auto-testid/citroën/ds4/kokkuvote/2029/
Citroen;Nemo;/auto-testid/citroën/nemo-multispace/kokkuvote/1890/
Ferrari;458;/auto-testid/ferrari/458-italia/kokkuvote/1934/
Ferrari;458;/auto-testid/ferrari/458-spider/kokkuvote/2054/
Ferrari;California;/auto-testid/ferrari/california/kokkuvote/1848/
Ferrari;FF;/auto-testid/ferrari/ff/kokkuvote/2030/
Fiat;500;/auto-testid/fiat/500/kokkuvote/99/
Fiat;Bravo;/auto-testid/fiat/bravo/kokkuvote/100/
Fiat;Panda;/auto-testid/fiat/panda/kokkuvote/2072/
Fiat;Panda;/auto-testid/fiat/panda-(04-12)/kokkuvote/104/
Fiat;Punto;/auto-testid/fiat/punto-evo/kokkuvote/1951/
Ford;C-MAX;/auto-testid/ford/c-max/kokkuvote/1991/
Ford;Fiesta;/auto-testid/ford/fiesta/kokkuvote/1825/
Ford;Focus;/auto-testid/ford/focus-luukpära/kokkuvote/2008/
Ford;Focus;/auto-testid/ford/focus-universaal/kokkuvote/2035/
Ford;Grand C-MAX;/auto-testid/ford/grand-c-max/kokkuvote/1992/
Ford;Ka;/auto-testid/ford/ka/kokkuvote/1844/
Ford;Kuga;/auto-testid/ford/kuga/kokkuvote/2150/
Ford;Mondeo;/auto-testid/ford/mondeo/kokkuvote/116/
Ford;S-MAX;/auto-testid/ford/s-max/kokkuvote/119/
Honda;Accord;/auto-testid/honda/accord-sedaan/kokkuvote/391/
Honda;Accord;/auto-testid/honda/accord-tourer/kokkuvote/392/
Honda;Civic;/auto-testid/honda/civic--2011/kokkuvote/120/
Honda;Civic;/auto-testid/honda/civic-2012/kokkuvote/2059/
Honda;CR-V;/auto-testid/honda/cr-v/kokkuvote/2111/
Honda;CR-Z;/auto-testid/honda/cr-z/kokkuvote/1959/
Honda;Jazz;/auto-testid/honda/jazz/kokkuvote/2025/
Hyundai;i20;/auto-testid/hyundai/i20/kokkuvote/1865/
Hyundai;i30;/auto-testid/hyundai/i30/kokkuvote/2073/
Hyundai;i30;/auto-testid/hyundai/i30-(i)-universaal/kokkuvote/400/
Hyundai;i40;/auto-testid/hyundai/i40-sedaan/kokkuvote/2078/
Hyundai;i40;/auto-testid/hyundai/i40-universaal/kokkuvote/2042/
Hyundai;ix20;/auto-testid/hyundai/ix20/kokkuvote/1993/
Hyundai;iX35;/auto-testid/hyundai/ix35/kokkuvote/1940/
Hyundai;Santa Fe;/auto-testid/hyundai/santa-fe/kokkuvote/2133/
Hyundai;Veloster;/auto-testid/hyundai/veloster/kokkuvote/2082/
Jaguar;XF;/auto-testid/jaguar/xf/kokkuvote/141/
Jaguar;XJ;/auto-testid/jaguar/xj/kokkuvote/1960/
Jaguar;XK;/auto-testid/jaguar/xk-coupé/kokkuvote/144/
Jaguar;XK;/auto-testid/jaguar/xk-kabriolett/kokkuvote/143/
Jeep;Compass;/auto-testid/jeep/compass/kokkuvote/2024/
Jeep;Wrangler;/auto-testid/jeep/wrangler/kokkuvote/153/
KIA;Carens;/auto-testid/kia/carens/kokkuvote/2164/
KIA;Cee´d;/auto-testid/kia/cee´d/kokkuvote/2114/
KIA;Optima sedaan;/auto-testid/kia/optima-sedaan/kokkuvote/2079/
KIA;Picanto;/auto-testid/kia/picanto/kokkuvote/2031/
KIA;Pro_cee´d;/auto-testid/kia/pro_cee´d/kokkuvote/2165/
KIA;Rio;/auto-testid/kia/rio/kokkuvote/2043/
KIA;Sorento;/auto-testid/kia/sorento/kokkuvote/2166/
KIA;Sportage;/auto-testid/kia/sportage/kokkuvote/1981/
KIA;Venga;/auto-testid/kia/venga/kokkuvote/1938/
Lamborghini;Murciélago Coupé;/auto-testid/lamborghini/murciélago-coupé/kokkuvote/432/
Land Rover;Discovery;/auto-testid/land rover/discovery/kokkuvote/163/
Land Rover;Freelander;/auto-testid/land rover/freelander/kokkuvote/164/
Land Rover;Range Rover;/auto-testid/land rover/range-rover/kokkuvote/1907/
Land Rover;Range Rover Evoque;/auto-testid/land rover/range-rover-evoque/kokkuvote/2044/
Land Rover;Range Rover Sport;/auto-testid/land rover/range-rover-sport/kokkuvote/2167/
Lexus;CT;/auto-testid/lexus/ct-200h/kokkuvote/1994/
Lexus;GS;/auto-testid/lexus/gs/kokkuvote/2116/
Lexus;IS;/auto-testid/lexus/is/kokkuvote/2168/
Lexus;LS;/auto-testid/lexus/ls/kokkuvote/2152/
Lexus;RX;/auto-testid/lexus/rx/kokkuvote/1884/
Maserati;Grancabrio;/auto-testid/maserati/grancabrio/kokkuvote/1961/
Maserati;Granturismo;/auto-testid/maserati/granturismo/kokkuvote/174/
Maserati;Quattroporte;/auto-testid/maserati/quattroporte/kokkuvote/175/
Mazda;2;/auto-testid/mazda/2/kokkuvote/178/
Mazda;3;/auto-testid/mazda/3-luukpära/kokkuvote/2169/
Mazda;5;/auto-testid/mazda/5/kokkuvote/1995/
Mazda;6;/auto-testid/mazda/6-sedaan/kokkuvote/2136/
Mazda;6;/auto-testid/mazda/6-universaal/kokkuvote/2137/
Mazda;CX-5;/auto-testid/mazda/cx-5/kokkuvote/2085/
Mazda;MX-5;/auto-testid/mazda/mx-5/kokkuvote/185/
Mercedes-Benz;A;/auto-testid/mercedes-benz/a-klass/kokkuvote/2117/
Mercedes-Benz;B;/auto-testid/mercedes-benz/b-klass/kokkuvote/2156/
Mercedes-Benz;C;/auto-testid/mercedes-benz/c-klassi-coupé/kokkuvote/2032/
Mercedes-Benz;C;/auto-testid/mercedes-benz/c-klassi-sedaan/kokkuvote/191/
Mercedes-Benz;C;/auto-testid/mercedes-benz/c-klassi-universaal-2011/kokkuvote/2037/
Mercedes-Benz;CLS;/auto-testid/mercedes-benz/cls-sedaan/kokkuvote/2009/
Mercedes-Benz;E;/auto-testid/mercedes-benz/e-klassi-coupe/kokkuvote/1885/
Mercedes-Benz;E;/auto-testid/mercedes-benz/e-klassi-sedaan/kokkuvote/1869/
Mercedes-Benz;E;/auto-testid/mercedes-benz/e-klassi-universaal/kokkuvote/1927/
Mercedes-Benz;GL;/auto-testid/mercedes-benz/gl-klass/kokkuvote/2153/
Mercedes-Benz;M;/auto-testid/mercedes-benz/m-klass/kokkuvote/2170/
Mercedes-Benz;S;/auto-testid/mercedes-benz/s-klass-(w222)/kokkuvote/2171/
Mercedes-Benz;SL;/auto-testid/mercedes-benz/sl/kokkuvote/2074/
Mercedes-Benz;SLK;/auto-testid/mercedes-benz/slk/kokkuvote/2018/
Mini;Cabrio;/auto-testid/mini/cabrio/kokkuvote/1864/
Mini;Clubman Cooper;/auto-testid/mini/clubman-cooper/kokkuvote/206/
Mini;Clubman One;/auto-testid/mini/clubman-one/kokkuvote/1904/
Mini;Cooper;/auto-testid/mini/cooper/kokkuvote/208/
Mini;Countryman;/auto-testid/mini/countryman/kokkuvote/1963/
Mitsubishi;ASX;/auto-testid/mitsubishi/asx/kokkuvote/1964/
Mitsubishi;i-MiEV;/auto-testid/mitsubishi/i-miev/kokkuvote/216/
Mitsubishi;Lancer;/auto-testid/mitsubishi/lancer-evolution/kokkuvote/214/
Mitsubishi;Outlander;/auto-testid/mitsubishi/outlander/kokkuvote/220/
Nissan;370Z;/auto-testid/nissan/370z/kokkuvote/1855/
Nissan;370Z Roadster;/auto-testid/nissan/370z-roadster/kokkuvote/1965/
Nissan;Juke;/auto-testid/nissan/juke/kokkuvote/1979/
Nissan;Leaf;/auto-testid/nissan/leaf/kokkuvote/2002/
Nissan;Micra;/auto-testid/nissan/micra/kokkuvote/1986/
Nissan;Navara;/auto-testid/nissan/navara/kokkuvote/229/
Nissan;Note;/auto-testid/nissan/note/kokkuvote/2183/
Nissan;Qashqai;/auto-testid/nissan/qashqai/kokkuvote/2192/
Nissan;Qashqai;/auto-testid/nissan/qashqai--2013/kokkuvote/233/
Nissan;Qashqai;/auto-testid/nissan/qashqai+2/kokkuvote/1826/
Nissan;X-Trail;/auto-testid/nissan/x-trail/kokkuvote/234/
Opel;Adam;/auto-testid/opel/adam/kokkuvote/2148/
Opel;Antara;/auto-testid/opel/antara/kokkuvote/332/
Opel;Astra;/auto-testid/opel/astra/kokkuvote/1929/
Opel;Astra;/auto-testid/opel/astra-gtc/kokkuvote/2060/
Opel;Astra;/auto-testid/opel/astra-sports-tourer/kokkuvote/2006/
Opel;Corsa;/auto-testid/opel/corsa/kokkuvote/337/
Opel;Insignia;/auto-testid/opel/insignia/kokkuvote/1834/
Opel;Insignia;/auto-testid/opel/insignia-opc/kokkuvote/1923/
Opel;Insignia;/auto-testid/opel/insignia-sports-tourer/kokkuvote/1873/
Opel;Meriva;/auto-testid/opel/meriva/kokkuvote/1975/
Opel;Mokka;/auto-testid/opel/mokka/kokkuvote/2140/
Opel;Zafira;/auto-testid/opel/zafira/kokkuvote/344/
Opel;Zafira;/auto-testid/opel/zafira-tourer/kokkuvote/2069/
Peugeot;107;/auto-testid/peugeot/107/kokkuvote/240/
Peugeot;2008;/auto-testid/peugeot/2008/kokkuvote/2173/
Peugeot;207;/auto-testid/peugeot/207-sw/kokkuvote/244/
Peugeot;208;/auto-testid/peugeot/208/kokkuvote/2122/
Peugeot;3008;/auto-testid/peugeot/3008/kokkuvote/1893/
Peugeot;308;/auto-testid/peugeot/308-cc/kokkuvote/1879/
Peugeot;4007;/auto-testid/peugeot/4007/kokkuvote/248/
Peugeot;5008;/auto-testid/peugeot/5008/kokkuvote/1928/
Peugeot;508;/auto-testid/peugeot/508-sedaan/kokkuvote/2010/
Peugeot;508;/auto-testid/peugeot/508-sw/kokkuvote/2014/
Peugeot;Partner Tepee;/auto-testid/peugeot/partner-tepee/kokkuvote/405/
Peugeot;RCZ;/auto-testid/peugeot/rcz/kokkuvote/1966/
Porsche;Boxster;/auto-testid/porsche/boxster/kokkuvote/2088/
Porsche;Cayenne;/auto-testid/porsche/cayenne/kokkuvote/1967/
Porsche;Cayman;/auto-testid/porsche/cayman/kokkuvote/258/
Porsche;Panamera;/auto-testid/porsche/panamera/kokkuvote/1905/
Renault;Captur;/auto-testid/renault/captur/kokkuvote/2158/
Renault;Clio;/auto-testid/renault/clio/kokkuvote/2139/
Renault;Grand Scenic;/auto-testid/renault/grand-scénic/kokkuvote/1887/
Renault;Kangoo;/auto-testid/renault/kangoo/kokkuvote/1894/
Renault;Laguna;/auto-testid/renault/laguna/kokkuvote/270/
Renault;Megane;/auto-testid/renault/mégane/kokkuvote/1846/
Renault;Megane;/auto-testid/renault/mégane-coupé/kokkuvote/1847/
Renault;Megane;/auto-testid/renault/mégane-grandtour/kokkuvote/1897/
Renault;Scenic;/auto-testid/renault/scénic/kokkuvote/1895/
Saab;9-3;/auto-testid/saab/9-3/kokkuvote/280/
Seat;Altea;/auto-testid/seat/altea/kokkuvote/285/
Seat;Ibiza;/auto-testid/seat/ibiza/kokkuvote/406/
Seat;Ibiza;/auto-testid/seat/ibiza-st/kokkuvote/1973/
Seat;Leon;/auto-testid/seat/leon/kokkuvote/2146/
Seat;Mii;/auto-testid/seat/mii/kokkuvote/2089/
Seat;Toledo;/auto-testid/seat/toledo/kokkuvote/2126/
Skoda;Citigo;/auto-testid/Škoda/citigo/kokkuvote/2090/
Skoda;Fabia;/auto-testid/Škoda/fabia/kokkuvote/290/
Skoda;Octavia;/auto-testid/Škoda/octavia/kokkuvote/2151/
Skoda;Octavia;/auto-testid/Škoda/octavia-combi/kokkuvote/2174/
Skoda;Rapid;/auto-testid/Škoda/rapid/kokkuvote/2147/
Skoda;Roomster;/auto-testid/Škoda/roomster/kokkuvote/293/
Skoda;Superb;/auto-testid/Škoda/superb/kokkuvote/418/
Skoda;Yeti;/auto-testid/Škoda/yeti/kokkuvote/1896/
Subaru;BRZ;/auto-testid/subaru/brz/kokkuvote/2127/
Subaru;Forester;/auto-testid/subaru/forester/kokkuvote/2175/
Subaru;Legacy;/auto-testid/subaru/legacy-universaal/kokkuvote/1930/
Subaru;Outback;/auto-testid/subaru/outback/kokkuvote/1982/
Subaru;XV;/auto-testid/subaru/xv/kokkuvote/2075/
Suzuki;Alto;/auto-testid/suzuki/alto/kokkuvote/1870/
Suzuki;Grand Vitara;/auto-testid/suzuki/grand-vitara/kokkuvote/307/
Suzuki;Swift;/auto-testid/suzuki/swift/kokkuvote/311/
Suzuki;SX4;/auto-testid/suzuki/sx4-s-cross/kokkuvote/2178/
Toyota;Auris;/auto-testid/toyota/auris/kokkuvote/2159/
Toyota;Avensis;/auto-testid/toyota/avensis-sedaan/kokkuvote/1851/
Toyota;Avensis;/auto-testid/toyota/avensis-universaal/kokkuvote/1849/
Toyota;Aygo;/auto-testid/toyota/aygo/kokkuvote/318/
Toyota;GT86;/auto-testid/toyota/gt86/kokkuvote/2091/
Toyota;Hilux;/auto-testid/toyota/hilux/kokkuvote/319/
Toyota;iQ;/auto-testid/toyota/iq/kokkuvote/1829/
Toyota;Land Cruiser 150;/auto-testid/toyota/land-cruiser-150/kokkuvote/1931/
Toyota;Prius;/auto-testid/toyota/prius/kokkuvote/1900/
Toyota;Prius+;/auto-testid/toyota/prius+/kokkuvote/2129/
Toyota;RAV4;/auto-testid/toyota/rav4/kokkuvote/2176/
Toyota;Urban Cruiser;/auto-testid/toyota/urban-cruiser/kokkuvote/1880/
Toyota;Verso-S;/auto-testid/toyota/verso-s/kokkuvote/2015/
Toyota;Yaris;/auto-testid/toyota/yaris/kokkuvote/2046/
Vokswagen;Amarok;/auto-testid/volkswagen/amarok/kokkuvote/1976/
Vokswagen;CC;/auto-testid/volkswagen/cc/kokkuvote/2093/
Vokswagen;Golf;/auto-testid/volkswagen/golf/kokkuvote/2141/
Vokswagen;Golf;/auto-testid/volkswagen/golf-cabriolet/kokkuvote/2033/
Vokswagen;Golf;/auto-testid/volkswagen/golf-variant/kokkuvote/2194/
Vokswagen;Jetta;/auto-testid/volkswagen/jetta/kokkuvote/2016/
Vokswagen;Passat;/auto-testid/volkswagen/passat-sedaan/kokkuvote/1996/
Vokswagen;Passat;/auto-testid/volkswagen/passat-variant/kokkuvote/1998/
Vokswagen;Polo;/auto-testid/volkswagen/polo/kokkuvote/1889/
Vokswagen;Sharan;/auto-testid/volkswagen/sharan/kokkuvote/1980/
Vokswagen;Tiguan;/auto-testid/volkswagen/tiguan/kokkuvote/359/
Vokswagen;Touareg;/auto-testid/volkswagen/touareg/kokkuvote/1977/
Vokswagen;Touran;/auto-testid/volkswagen/touran/kokkuvote/1997/
Volvo;C70;/auto-testid/volvo/c70-coupé-cabriolet/kokkuvote/388/
Volvo;S40;/auto-testid/volvo/s40/kokkuvote/363/
Volvo;S60;/auto-testid/volvo/s60/kokkuvote/1978/
Volvo;S80;/auto-testid/volvo/s80/kokkuvote/365/
Volvo;V50;/auto-testid/volvo/v50/kokkuvote/366/
Volvo;V70;/auto-testid/volvo/v70/kokkuvote/367/
Volvo;XC60;/auto-testid/volvo/xc60/kokkuvote/1831/
Volvo;XC70;/auto-testid/volvo/xc70/kokkuvote/368/
Volvo;XC90;/auto-testid/volvo/xc90/kokkuvote/369/
